latitude,longitude,ethnicity
35.458125,-78.38885,White
42.22371667,-87.89955278,White
40.7083,-74.1562,White
42.06639722,-88.268475,White
40.06555,-75.61131111,White
43.87751944,-70.33246111,White
40.12301667,-77.76559722,White
41.38,-82.0225,White
29.92106111,-94.28171111,White
33.66718333,-84.41618056,White
41.56723056,-87.31672778,White
39.00642222,-77.07453056,White
32.66157778,-97.284075,White
42.71927222,-84.66885,White
41.85479722,-71.88210278,White
32.73991111,-97.32014444,White
42.27536667,-85.30977222,White
38.22959444,-122.1163861,White
35.5277,-97.527,White
30.31388889,-81.76777778,White
30.83755556,-97.59807778,White
42.16104722,-77.05711111,White
26.39453056,-80.09333889,White
34.07205556,-117.8777806,White
25.92066667,-80.21113333,White
29.80962778,-95.33479444,White
29.93986111,-95.41496111,White
38.3924,-82.4258,White
33.77539722,-118.0869889,White
30.135825,-89.87064444,White
33.46389444,-112.1096028,White
38.94341667,-91.88191667,White
42.08838611,-72.580875,White
41.31993611,-72.34063889,White
37.64966389,-122.0974417,White
33.64186667,-117.28375,White
33.75036667,-116.2740417,White
34.96423056,-82.00528056,White
40.53861111,-88.95344722,White
41.98373611,-88.02084167,White
29.77976389,-95.45076944,White
32.77831667,-96.78188889,White
33.631975,-112.116125,White
38.4401,-82.14321944,White
41.31236389,-75.75733611,White
36.14422222,-115.1712833,White
42.48524167,-83.20842778,White
32.82064722,-96.63356111,White
39.07892222,-94.49073333,White
41.77255833,-87.62556667,White
34.98396111,-85.40871111,White
31.84079444,-106.5708944,White
29.6045,-98.6015,White
,,White
35.26646111,-80.873725,White
30.44488056,-91.17897222,White
37.94823889,-121.3005222,White
43.16203611,-83.76770278,White
43.01151944,-87.89372222,White
35.09116667,-106.6344611,White
34.85620833,-82.267,White
38.61551667,-90.17153056,White
33.79048056,-118.0997472,White
38.39246667,-121.9280778,White
45.61081667,-121.2055583,White
34.26564167,-118.4406556,White
41.20838889,-87.86682778,White
28.88888889,-81.27864444,White
32.6542,-96.87742222,White
29.78119722,-95.36818056,White
32.46954722,-84.93120833,White
41.59876667,-90.58689167,White
27.44694444,-82.49777778,White
41.22604444,-95.94690278,White
34.06580833,-117.8070028,White
35.4868,-97.7601,White
26.14956111,-97.66706389,White
34.01794722,-118.2802028,White
34.85188056,-82.33013889,White
41.59204722,-93.77117778,White
36.14538056,-96.00225278,White
30.09270278,-95.43576667,White
41.14988611,-111.9693583,White
30.453675,-91.18053611,White
27.42773889,-82.45913056,White
35.97341944,-83.26888889,White
42.42464444,-123.1146444,White
35.58963333,-82.57743611,White
38.81730556,-90.95927778,White
39.83985833,-83.09091111,White
40.70232778,-111.9527222,White
25.97871944,-80.35128889,White
34.26443056,-118.441,White
32.91558889,-96.958475,White
39.900375,-83.88051667,White
32.29529167,-106.7411889,White
34.81815833,-91.60422222,White
29.33276389,-98.41068889,White
29.48829722,-98.22201667,White
41.65471667,-70.99119722,White
41.59986389,-90.62598333,White
33.46257778,-112.2295722,White
40.42795,-79.94905833,White
35.88424444,-78.820925,White
42.76461667,-70.93625556,White
42.23301944,-71.61051389,White
30.00261667,-90.03555278,White
32.4558,-93.75715278,White
26.43642778,-97.78539167,White
39.20426667,-119.7813694,White
31.1934,-105.5298889,White
34.436875,-92.19575833,White
29.8309,-94.79956944,White
45.14476389,-93.18335278,White
35.62009444,-90.49646944,White
42.31419444,-71.05174167,White
42.46675556,-71.25041111,White
41.54111944,-87.74301389,White
43.279875,-88.19252222,White
33.686925,-112.1123778,White
29.72484444,-95.49016111,White
39.19317778,-119.7628083,White
29.15862222,-81.07777778,White
33.45735556,-86.71518611,White
38.63871944,-121.4194694,White
30.00176667,-94.19345,White
41.96353889,-72.59038611,White
38.77107778,-90.27703889,White
42.39163611,-71.60569167,White
38.23951111,-85.67537222,White
32.84182778,-79.96930278,White
40.77090833,-112.0157083,White
30.23614444,-81.51396944,White
39.00728889,-77.08583333,White
39.95157222,-77.58495556,White
32.650825,-117.1043861,White
