lat,lon,county_code
38.32156389,-91.14810556,29071
34.12286111,-117.52931944,06071
36.10406944,-91.60658889,05135
34.39415833,-96.14549722,40005
37.07651944,-120.83496111,06047
25.79649444,-80.24425833,12086
46.579775,-120.5134,53077
42.98458889,-90.01340556,55049
44.06296667,-99.43991667,46017
41.77555556,-87.57190556,17031
27.91638889,-82.40218611,12057
30.44119167,-84.32830833,12073
43.04543333,-93.20132222,19033
40.00738889,-75.19261111,42101
38.30855556,-91.26211111,29071
40.91430556,-73.78433056,36119
34.02921389,-117.55029722,06065
35.26716944,-119.12175,06029
33.82072222,-84.06514444,13135
32.28817778,-90.21954444,28049
32.89037778,-79.95784167,45015
33.24833056,-82.15313333,13033
34.86453333,-85.36669722,13295
38.36201111,-81.61903056,54039
34.60616944,-82.13868889,45059
32.839425,-116.770875,06073
36.70305556,-80.07972222,51089
40.39913611,-79.57956389,42129
35.338,-98.1887,40015
35.47289722,-93.50137222,05071
37.77797778,-122.40939722,06075
34.78926944,-81.81658333,45083
36.92558611,-85.10385,21207
28.51861389,-82.57155833,12053
45.48968889,-122.54118056,41051
25.94097778,-80.19023889,12086
43.25198889,-76.64713333,36011
39.82194444,-104.96091667,08001
35.76041111,-115.343025,32003
38.63193056,-90.28643611,29510
39.57913056,-101.05579722,20153
36.56249167,-119.28698056,06107
39.05667778,-84.43135833,21037
45.86540833,-95.43706944,27041
36.00478611,-80.13220278,37057
35.03349444,-107.98684167,35006
32.57417222,-86.59906944,01001
29.02801944,-80.99751944,12127
36.06558889,-84.12991111,47001
30.54471667,-88.25401389,01097
31.60674722,-88.82977778,28153
32.22285833,-81.44506667,13029
34.704375,-118.08333889,06037
34.29631944,-118.45549444,06037
30.90991111,-96.95008056,48331
47.31211111,-113.576675,30063
36.31262778,-119.27608056,06107
42.57871667,-79.10655556,36029
35.68845278,-82.90227778,37087
26.62886944,-80.09676111,12099
37.67886389,-89.02159444,17199
21.34606111,-158.12257222,15003
33.87101944,-79.13931389,45051
33.65125833,-96.64195,48181
27.25834444,-80.42000556,12111
32.94633889,-114.88942778,06025
39.75786667,-94.85671944,29021
41.39973333,-73.08878333,09009
40.73760278,-73.2701,36103
37.37596111,-77.48383056,51041
48.48709722,-113.13156111,30035
40.07815,-79.80671667,42051
37.80024444,-122.27952222,06001
34.08868611,-117.91360278,06037
42.20569722,-71.06708889,25021
29.39143333,-95.07215,48167
