count,latitude,longitude
1,38.32156389,-91.14810556
1,34.12286111,-117.52931944
1,36.10406944,-91.60658889
1,34.39415833,-96.14549722
1,37.07651944,-120.83496111
1,25.79649444,-80.24425833
1,46.579775,-120.5134
1,42.98458889,-90.01340556
1,44.06296667,-99.43991667
1,41.77555556,-87.57190556
1,27.91638889,-82.40218611
1,30.44119167,-84.32830833
1,43.04543333,-93.20132222
1,40.00738889,-75.19261111
1,38.30855556,-91.26211111
1,40.91430556,-73.78433056
1,34.02921389,-117.55029722
1,35.26716944,-119.12175
1,33.82072222,-84.06514444
1,32.28817778,-90.21954444
1,32.89037778,-79.95784167
1,33.24833056,-82.15313333
1,34.86453333,-85.36669722
1,38.36201111,-81.61903056
1,34.60616944,-82.13868889
1,32.839425,-116.770875
1,36.70305556,-80.07972222
1,40.39913611,-79.57956389
1,35.338,-98.1887
1,35.47289722,-93.50137222
1,37.77797778,-122.40939722
1,34.78926944,-81.81658333
1,36.92558611,-85.10385
1,28.51861389,-82.57155833
1,45.48968889,-122.54118056
1,25.94097778,-80.19023889
1,43.25198889,-76.64713333
1,39.82194444,-104.96091667
1,35.76041111,-115.343025
1,38.63193056,-90.28643611
1,39.57913056,-101.05579722
1,36.56249167,-119.28698056
1,39.05667778,-84.43135833
1,45.86540833,-95.43706944
1,36.00478611,-80.13220278
1,35.03349444,-107.98684167
1,32.57417222,-86.59906944
1,29.02801944,-80.99751944
1,36.06558889,-84.12991111
1,30.54471667,-88.25401389
1,31.60674722,-88.82977778
1,32.22285833,-81.44506667
1,34.704375,-118.08333889
1,34.29631944,-118.45549444
1,30.90991111,-96.95008056
1,47.31211111,-113.576675
1,36.31262778,-119.27608056
1,42.57871667,-79.10655556
1,35.68845278,-82.90227778
1,26.62886944,-80.09676111
1,37.67886389,-89.02159444
1,21.34606111,-158.12257222
1,33.87101944,-79.13931389
1,33.65125833,-96.64195
1,27.25834444,-80.42000556
1,32.94633889,-114.88942778
1,39.75786667,-94.85671944
1,41.39973333,-73.08878333
1,40.73760278,-73.2701
1,37.37596111,-77.48383056
1,48.48709722,-113.13156111
1,40.07815,-79.80671667
1,37.80024444,-122.27952222
1,34.08868611,-117.91360278
1,42.20569722,-71.06708889
1,29.39143333,-95.07215
1,41.35699722,-72.41663611
1,47.8975,-122.10794722
1,39.72215278,-84.21400278
1,32.26225278,-86.16018333
1,27.09964167,-80.657375
1,33.63166667,-84.38813056
1,31.98314167,-81.15443333
1,42.07289444,-87.70294167
1,25.74805556,-80.32
1,39.92691111,-86.12678056
1,33.22111389,-117.24861389
1,38.72994444,-94.37544444
1,39.22226389,-94.48928333
1,43.02680833,-108.38066111
1,42.44952778,-71.02331667
1,38.39,-92.79605556
1,35.48563889,-86.07068889
1,30.31222222,-87.42666667
1,29.89881111,-95.50654444
1,34.09441944,-118.35521667
1,34.24888333,-118.42699444
1,41.79465556,-88.11891944
1,35.6945,-81.21933889
1,31.50331944,-106.11679444
1,43.23734167,-77.62325833
1,37.01676667,-86.27698889
1,35.93827778,-79.76644167
1,36.35631667,-94.17522778
1,30.86864444,-84.35880278
1,44.97981944,-92.77765556
1,39.64027222,-86.62700556
1,19.79948056,-155.85263889
1,37.631775,-122.40318889
1,34.97836389,-85.31030833
1,36.217,-86.47203889
1,35.81101389,-78.84413333
1,32.75016389,-117.07943333
1,41.89989444,-77.21963611
1,26.36816111,-80.11835
1,35.62009444,-90.49646944
1,39.33296944,-104.96920556
1,29.79222222,-95.26013056
1,28.38621111,-81.2445
1,38.00313611,-101.10264444
1,28.02915556,-82.64031667
1,29.80932222,-95.31755833
1,37.73005556,-90.42766667
1,41.72285556,-86.28630833
1,34.31151111,-79.41296944
1,36.16883056,-115.23296667
1,32.64603333,-116.97129167
1,26.90303056,-80.29062778
1,42.43542222,-87.8377
1,34.48706389,-118.28686667
1,33.59281389,-89.01860833
1,42.79043611,-86.08070278
1,41.07260833,-111.25985278
1,40.4165,-76.09446944
1,33.89451111,-80.50268056
1,29.55493056,-98.02895556
1,45.26079444,-92.97556111
1,29.29918889,-99.09566944
1,36.59194444,-90.22313889
1,39.52008056,-75.01382778
1,27.92868333,-82.33786111
1,35.07417778,-106.58628333
1,35.71261111,-86.87973056
1,37.92355556,-104.90428333
1,44.89698889,-93.24154167
1,33.43398889,-84.87038056
1,41.99305556,-91.64368611
1,35.09488889,-106.55064167
1,33.64468056,-117.35790278
1,27.92113611,-82.02780278
1,42.13155,-70.92388611
1,33.46556111,-111.97858056
1,33.56415833,-101.85534167
1,33.71755,-84.14573056
1,35.03731944,-88.44706944
1,39.98076667,-105.02016667
1,27.93781111,-82.28983889
1,39.51477222,-82.80026111
1,39.55788611,-122.36351667
1,41.08953056,-74.00567778
1,41.91893333,-72.69035
1,38.21,-106.561
1,61.04693889,-149.79181111
1,40.64576944,-74.85658056
1,40.47240278,-90.65585278
1,38.74402778,-90.31272222
1,39.87355833,-83.00225278
1,42.32508056,-83.35303611
1,38.46166667,-77.40944444
1,39.55205833,-90.32303333
1,33.14967778,-83.86893056
1,42.31286667,-122.87733611
1,33.45721667,-84.72928611
1,34.78508611,-87.49404444
1,30.61085556,-89.39260278
1,40.28351667,-74.50283611
1,34.09841944,-81.18763889
1,35.23283056,-97.43657222
1,40.69481667,-73.95243056
1,30.30416667,-81.63222222
1,27.32850833,-82.53985556
1,30.04206944,-95.48555556
1,40.06563333,-80.98042778
1,35.07235278,-89.86334722
1,47.62711944,-122.32596111
1,42.92371389,-114.86648333
1,34.14569444,-117.31701667
1,40.67050556,-73.84283889
1,29.11118056,-81.07005
1,33.40913333,-80.46832222
1,35.58970556,-82.57644722
1,36.17755,-79.50922778
1,33.92354167,-117.42745833
1,43.79538611,-123.06995833
1,39.69446944,-75.62316111
1,36.11446944,-115.23634722
1,33.490575,-90.36096389
1,42.48184444,-89.659325
1,30.06509167,-90.69463889
1,36.384275,-119.21544722
1,34.20413889,-77.93844167
1,41.84563333,-83.47785833
1,34.432975,-119.87820278
1,33.41473056,-81.69733889
1,30.48595556,-88.31606111
1,33.92368611,-118.26891111
1,36.11552222,-79.48034167
1,61.53717778,-150.10790833
1,28.32551944,-81.39128889
1,42.37265278,-83.29498333
1,30.249525,-87.82224167
1,29.58831111,-81.6078
1,36.19755556,-115.18325833
1,40.42053333,-123.98158056
